Date,Open,High,Low,Close,Volume
2015/8/25,1.238,1.277,1.22,1.271,1188
2015/8/26,1.271,1.271,1.083,1.18,2337
2015/8/27,1.18,1.188,1.136,1.136,269
2015/8/28,1.136,1.3,1.136,1.295,26922
2015/8/29,1.295,1.295,1.153,1.179,383
2015/8/30,1.179,1.35,1.172,1.32,10975
2015/8/31,1.32,1.32,0.9,1.307,3959
2015/9/1,1.307,1.38,1.307,1.36,1220
2015/9/2,1.36,1.372,1.14,1.14,698
2015/9/3,1.14,1.328,1.14,1.234,3717
2015/9/4,1.284,1.4,1.284,1.35,18
2015/9/5,1.234,1.37,1.234,1.37,10437
2015/9/6,1.37,1.385,1.335,1.34,145
2015/9/7,1.34,1.34,1.276,1.276,526
2015/9/8,1.276,1.276,1.263,1.263,103
2015/9/9,1.263,1.263,1.21,1.21,27
2015/9/10,1.21,1.213,1.12,1.186,3361
2015/9/11,1.186,1.186,0.9242,0.9242,3066
2015/9/12,0.9242,1.146,0.9242,1.146,513
2015/9/13,1.146,1.146,0.8837,0.8856,3817
2015/9/14,0.8856,0.9622,0.885,0.955,805
2015/9/15,0.955,1,0.804,0.95,2273
2015/9/16,0.95,0.9563,0.9363,0.9363,47
2015/9/17,0.9363,0.9363,0.8238,0.875,129
2015/9/18,0.875,0.88,0.8523,0.8523,593
2015/9/19,0.8523,0.89,0.8013,0.89,3
2015/9/20,0.89,0.89,0.88,0.8871,12
2015/9/21,0.8871,0.95,0.8871,0.9412,171
2015/9/22,0.9412,0.9412,0.8059,0.8059,175
2015/9/23,0.8059,0.91,0.8059,0.91,13
2015/9/24,0.91,0.91,0.8,0.8,568
2015/9/25,0.8,0.8,0.6823,0.6823,2184
2015/9/26,0.6823,0.7703,0.6805,0.7703,58
2015/9/27,0.7703,0.7703,0.7007,0.7008,10
2015/9/28,0.7008,0.7047,0.6,0.6,3491
2015/9/29,0.6,0.6816,0.5,0.6816,11590
2015/9/30,0.6816,0.74,0.5046,0.7137,529
2015/10/1,0.7137,0.7137,0.6545,0.6548,457
2015/10/2,0.6548,0.666,0.6548,0.6647,266
2015/10/3,0.6647,0.6796,0.6647,0.6796,34
2015/10/4,0.6796,0.6747,0.6095,0.6095,533
2015/10/5,0.6095,0.6095,0.6078,0.6078,35
2015/10/6,0.6078,0.6511,0.6091,0.6511,15
2015/10/7,0.6511,0.611,0.6,0.6,1236
2015/10/8,0.6,0.64,0.6,0.62,3673
2015/10/9,0.62,0.6352,0.5701,0.6352,1298
2015/10/10,0.75,0.75,0.6351,0.6351,0
2015/10/11,0.6352,0.5993,0.5993,0.5993,8
2015/10/12,0.5993,0.639,0.63,0.63,13
2015/10/13,0.63,0.65,0.6016,0.6017,471
2015/10/14,0.6017,0.6017,0.5,0.5,1538
2015/10/15,0.5,0.56,0.4832,0.56,128
2015/10/16,0.56,0.5622,0.525,0.525,210
2015/10/17,0.525,0.54,0.52,0.523,855
2015/10/18,0.523,0.52,0.505,0.505,534
2015/10/19,0.505,0.505,0.4821,0.5,780
2015/10/20,0.5,0.4805,0.44,0.44,682
2015/10/21,0.44,0.4719,0.42,0.42,707
2015/10/22,0.42,0.609,0.411,0.609,1759
2015/10/23,0.609,0.609,0.5,0.5649,2166
2015/10/24,0.5649,0.5561,0.51,0.5561,156
2015/10/25,0.5561,0.67,0.5875,0.62,902
2015/10/26,0.62,0.706,0.62,0.706,1190
2015/10/27,0.706,0.901,0.7012,0.83,1738
2015/10/28,0.83,1.01,0.82,0.99,4611
2015/10/29,0.99,1.2,0.9717,1.123,4937
2015/10/30,1.123,1.34,1.121,1.139,4346
2015/10/31,1.139,1.139,0.8676,0.8676,804
2015/11/1,0.8676,0.99,0.8676,0.99,176
2015/11/2,0.99,1.06,0.9753,0.9878,7192
2015/11/3,0.9878,1.06,0.8425,1.06,6124
2015/11/4,1.06,1.06,0.7987,0.799,5189
2015/11/5,0.799,1.005,0.799,0.8764,1078
2015/11/6,0.8764,0.9899,0.79,0.9899,3121
2015/11/7,0.9899,0.93,0.8647,0.93,1195
2015/11/8,0.93,1,0.8945,1,3067
2015/11/9,1,1.078,0.89,0.998,8903
2015/11/10,0.998,1,0.9,0.9,7531
2015/11/11,0.9,0.94,0.73,0.75,9539
2015/11/12,0.75,0.9,0.75,0.88,2032
2015/11/13,0.88,0.9,0.8395,0.9,1625
